,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.043511797,0.040562613,0.025816697,0.593326382,14.62741997,1,0.024051745,2.359231933,0.97401645,0.443146417,0.576133238,0.614895853
1,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.040562613,0.043511797,0.025816697,0.636465324,14.62741997,1,0.024051745,2.631078319,0.971022452,0.443146417,0.619927696,0.614895853
2,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.041696915,0.031352087,0.021914701,0.525571273,16.76351789,1,0.020607415,2.041714293,0.981262259,0.428571429,0.510215507,0.612279124
3,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.031352087,0.041696915,0.021914701,0.698986975,16.76351789,1,0.020607415,3.183593423,0.970782714,0.428571429,0.685889538,0.612279124
4,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.041696915,0.036932849,0.02168784,0.520130577,14.0831424,1,0.020147854,2.006935854,0.969414723,0.380876494,0.501727971,0.553677082
5,CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.036932849,0.041696915,0.02168784,0.587223587,14.0831424,1,0.020147854,2.321603308,0.964619258,0.380876494,0.569263191,0.553677082
6,DOTCOM POSTAGE,JUMBO BAG RED RETROSPOT,0.032168784,0.089745917,0.022005445,0.684062059,7.622208183,1,0.019118428,2.88111672,0.897681754,0.220254314,0.652912361,0.464629614
7,JUMBO BAG RED RETROSPOT,DOTCOM POSTAGE,0.089745917,0.032168784,0.022005445,0.245197169,7.622208183,1,0.019118428,1.282230506,0.954463637,0.220254314,0.220109025,0.464629614
8,GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.041197822,0.034346642,0.024682396,0.599118943,17.44330449,1,0.023267389,2.408827606,0.983176128,0.485280999,0.584860287,0.658872549
9,GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.034346642,0.041197822,0.024682396,0.718626156,17.44330449,1,0.023267389,3.407573937,0.976200627,0.485280999,0.706536082,0.658872549
10,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.044010889,0.033303085,0.02654265,0.603092784,18.10921655,1,0.025076951,2.435574045,0.988274332,0.522788204,0.589419175,0.700047754
11,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.033303085,0.044010889,0.02654265,0.797002725,18.10921655,1,0.025076951,4.709369176,0.977327521,0.522788204,0.787657335,0.700047754
12,GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.044010889,0.083121597,0.020871143,0.474226804,5.705217665,1,0.017212888,1.743866766,0.862689585,0.196413322,0.426561697,0.362659254
13,REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.083121597,0.044010889,0.020871143,0.251091703,5.705217665,1,0.017212888,1.276510241,0.899488795,0.196413322,0.216614197,0.362659254
14,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.044010889,0.045508167,0.032350272,0.735051546,16.15207984,1,0.030347417,3.602556724,0.981275266,0.565873016,0.72241936,0.722959472
15,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.045508167,0.044010889,0.032350272,0.710867398,16.15207984,1,0.030347417,3.306403717,0.982814557,0.565873016,0.697556595,0.722959472
16,HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.042241379,0.05331216,0.021960073,0.519871106,9.751454624,1,0.019708093,1.971736866,0.937032753,0.298397041,0.492832935,0.465893
17,HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.05331216,0.042241379,0.021960073,0.411914894,9.751454624,1,0.019708093,1.628605469,0.947990624,0.298397041,0.385977747,0.465893
18,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.041878403,0.089745917,0.026225045,0.626218852,6.977686294,1,0.02246663,2.435259476,0.894130789,0.248816186,0.589366139,0.459216605
19,JUMBO BAG RED RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE,0.089745917,0.041878403,0.026225045,0.292214358,6.977686294,1,0.02246663,1.353688942,0.941150427,0.248816186,0.261277854,0.459216605
20,JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,0.04092559,0.089745917,0.02345735,0.573170732,6.386593997,1,0.019784446,2.132595281,0.879412493,0.218789674,0.531087774,0.417272929
21,JUMBO BAG RED RETROSPOT,JUMBO BAG APPLES,0.089745917,0.04092559,0.02345735,0.261375126,6.386593997,1,0.019784446,1.2984594,0.92657867,0.218789674,0.229856552,0.417272929
22,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.053176044,0.089745917,0.035980036,0.67662116,7.53929746,1,0.031207704,2.814822654,0.916074885,0.336444633,0.644737831,0.538765585
23,JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.089745917,0.053176044,0.035980036,0.40091001,7.53929746,1,0.031207704,1.58043695,0.952878611,0.336444633,0.367263591,0.538765585
24,JUMBO BAG PINK POLKADOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.053176044,0.051905626,0.020780399,0.390784983,7.528759636,1,0.018020263,1.556255751,0.915878807,0.246501615,0.357432093,0.395567317
25,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG PINK POLKADOT,0.051905626,0.053176044,0.020780399,0.40034965,7.528759636,1,0.018020263,1.578960067,0.914651558,0.246501615,0.36667176,0.395567317
26,JUMBO BAG PINK POLKADOT,JUMBO STORAGE BAG SUKI,0.053176044,0.052041742,0.023049002,0.433447099,8.328835276,1,0.020281628,1.673203431,0.929354593,0.280508007,0.402344042,0.438170803
27,JUMBO STORAGE BAG SUKI,JUMBO BAG PINK POLKADOT,0.052041742,0.053176044,0.023049002,0.442894507,8.328835276,1,0.020281628,1.699541593,0.928242553,0.280508007,0.411606045,0.438170803
28,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.037431942,0.089745917,0.022277677,0.595151515,6.631516377,1,0.018918313,2.248382092,0.882228451,0.212370242,0.555235739,0.421691026
29,JUMBO BAG RED RETROSPOT,JUMBO BAG PINK VINTAGE PAISLEY,0.089745917,0.037431942,0.022277677,0.248230536,6.631516377,1,0.018918313,1.280403241,0.932931741,0.212370242,0.218996041,0.421691026
30,JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.036524501,0.089745917,0.023820327,0.652173913,7.266892337,1,0.020542402,2.61698049,0.895082019,0.232506643,0.617880223,0.458796764
31,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.089745917,0.036524501,0.023820327,0.265419616,7.266892337,1,0.020542402,1.311599819,0.947416343,0.232506643,0.237572325,0.458796764
32,JUMBO BAG WOODLAND ANIMALS,JUMBO BAG RED RETROSPOT,0.03362069,0.089745917,0.021642468,0.643724696,7.172746364,1,0.018625149,2.554917712,0.890523398,0.212756467,0.608597962,0.442438688
33,JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,0.089745917,0.03362069,0.021642468,0.241152679,7.172746364,1,0.018625149,1.273483195,0.945432054,0.212756467,0.214752104,0.442438688
34,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.051905626,0.089745917,0.029945554,0.576923077,6.42840476,1,0.025287236,2.151509652,0.890671261,0.268074736,0.53521008,0.455296726
35,JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.089745917,0.051905626,0.029945554,0.333670374,6.42840476,1,0.025287236,1.422860904,0.927697471,0.268074736,0.297190613,0.455296726
36,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.052041742,0.089745917,0.03207804,0.616390584,6.868174153,1,0.027407506,2.372866895,0.901306455,0.292390405,0.57856886,0.486911167
37,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.089745917,0.052041742,0.03207804,0.357431749,6.868174153,1,0.027407506,1.4752647,0.938640004,0.292390405,0.322155543,0.486911167
38,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.064882033,0.089745917,0.024455535,0.376923077,4.19989111,1,0.018632638,1.460901615,0.814762004,0.187870338,0.315491208,0.324710275
39,JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.089745917,0.064882033,0.024455535,0.272497472,4.19989111,1,0.018632638,1.285381056,0.837017491,0.187870338,0.222020586,0.324710275
40,WHITE HANGING HEART T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,0.100090744,0.089745917,0.020054446,0.200362647,2.232554473,1,0.011071711,1.138333621,0.613486964,0.118118653,0.121522916,0.211910343
41,JUMBO BAG RED RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,0.089745917,0.100090744,0.020054446,0.223458038,2.232554473,1,0.011071711,1.158867518,0.606514827,0.118118653,0.137088594,0.211910343
42,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,0.051905626,0.052041742,0.023321234,0.449300699,8.633467666,1,0.020619975,1.72137182,0.932577717,0.289251548,0.419067985,0.448713122
43,JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY,0.052041742,0.051905626,0.023321234,0.448125545,8.633467666,1,0.020619975,1.717952997,0.932711624,0.289251548,0.417911897,0.448713122
44,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.056125227,0.049364791,0.02300363,0.409862571,8.302730753,1,0.02023302,1.610870895,0.931858466,0.278877888,0.379217786,0.437927609
45,LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.049364791,0.056125227,0.02300363,0.465992647,8.302730753,1,0.02023302,1.767531417,0.925231561,0.278877888,0.434239193,0.437927609
46,LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.056125227,0.046551724,0.023820327,0.424413905,9.117039432,1,0.021207601,1.656482468,0.943255712,0.302071346,0.396311148,0.468054906
47,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.046551724,0.056125227,0.023820327,0.511695906,9.117039432,1,0.021207601,1.932965104,0.933784552,0.302071346,0.482660086,0.468054906
48,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.064882033,0.056125227,0.027858439,0.429370629,7.65022528,1,0.02421692,1.654094272,0.929599179,0.299074525,0.395439536,0.462866398
49,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.056125227,0.064882033,0.027858439,0.496362167,7.65022528,1,0.02421692,1.856727007,0.920974816,0.299074525,0.461417863,0.462866398
50,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,0.047640653,0.056125227,0.021960073,0.460952381,8.21292682,1,0.01928623,1.751004438,0.922173684,0.268441486,0.42889922,0.42611079
51,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.056125227,0.047640653,0.021960073,0.3912692,8.21292682,1,0.01928623,1.564500016,0.930463184,0.268441486,0.360818159,0.42611079
52,LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN,0.056125227,0.047141561,0.02277677,0.405820534,8.608551068,1,0.020130939,1.603654271,0.936391625,0.282976325,0.376424197,0.444488708
53,LUNCH BAG SUKI DESIGN,LUNCH BAG  BLACK SKULL.,0.047141561,0.056125227,0.02277677,0.483156882,8.608551068,1,0.020130939,1.826230706,0.92756321,0.282976325,0.452424058,0.444488708
54,LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.049364791,0.046551724,0.021551724,0.436580882,9.378404139,1,0.019253708,1.692254036,0.939763268,0.28981086,0.409072173,0.449771923
55,LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.046551724,0.049364791,0.021551724,0.462962963,9.378404139,1,0.019253708,1.77014832,0.936990578,0.28981086,0.435075587,0.449771923
56,LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.064882033,0.049364791,0.023411978,0.360839161,7.309646236,1,0.02020909,1.487317668,0.923086182,0.257742258,0.327648678,0.417551933
57,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.049364791,0.064882033,0.023411978,0.474264706,7.309646236,1,0.02020909,1.778685924,0.908018624,0.257742258,0.437787196,0.417551933
58,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,0.047640653,0.049364791,0.020780399,0.436190476,8.836064426,1,0.018428628,1.686092853,0.931189941,0.272619048,0.406912853,0.428573179
59,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.049364791,0.047640653,0.020780399,0.420955882,8.836064426,1,0.018428628,1.644709475,0.932878811,0.272619048,0.391989883,0.428573179
60,LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.049364791,0.047141561,0.020326679,0.411764706,8.734643039,1,0.017999545,1.619859347,0.931496482,0.266825491,0.38266245,0.421474268
61,LUNCH BAG SUKI DESIGN,LUNCH BAG CARS BLUE,0.047141561,0.049364791,0.020326679,0.431183831,8.734643039,1,0.017999545,1.671252084,0.929323093,0.266825491,0.401646221,0.421474268
62,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.064882033,0.046551724,0.025453721,0.392307692,8.427350427,1,0.02243335,1.568965517,0.942489368,0.296042216,0.362637363,0.469545659
63,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.046551724,0.064882033,0.025453721,0.546783626,8.427350427,1,0.02243335,2.063292547,0.924369748,0.296042216,0.515337754,0.469545659
64,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.064882033,0.047640653,0.022867514,0.352447552,7.398041958,1,0.019776491,1.470706118,0.924834223,0.255060729,0.320054505,0.416223776
65,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,0.047640653,0.064882033,0.022867514,0.48,7.398041958,1,0.019776491,1.798303783,0.908091155,0.255060729,0.443920427,0.416223776
66,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.064882033,0.047141561,0.023774955,0.366433566,7.773046972,1,0.020716314,1.503959788,0.931807912,0.26940874,0.335088606,0.435382327
67,LUNCH BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.047141561,0.064882033,0.023774955,0.504331088,7.773046972,1,0.020716314,1.886577802,0.914459362,0.26940874,0.469939698,0.435382327
68,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.064882033,0.040335753,0.020961887,0.323076923,8.009691096,1,0.018344822,1.417685819,0.935872554,0.248788368,0.294625095,0.421380981
69,LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.040335753,0.064882033,0.020961887,0.519685039,8.009691096,1,0.018344822,1.946884948,0.911934818,0.248788368,0.486358965,0.421380981
70,PAPER CHAIN KIT VINTAGE CHRISTMAS,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.036796733,0.051451906,0.024500907,0.665844636,12.94110739,1,0.022607645,2.838643928,0.957977295,0.384341637,0.647719113,0.571017556
71,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",PAPER CHAIN KIT VINTAGE CHRISTMAS,0.051451906,0.036796733,0.024500907,0.476190476,12.94110739,1,0.022607645,1.8388426,0.97277815,0.384341637,0.456179664,0.571017556
72,SPOTTY BUNTING,PARTY BUNTING,0.047686025,0.073185118,0.020689655,0.433872502,5.928425265,1,0.017199748,1.637113346,0.872948591,0.206521739,0.389168745,0.35828777
73,PARTY BUNTING,SPOTTY BUNTING,0.073185118,0.047686025,0.020689655,0.282703038,5.928425265,1,0.017199748,1.327642559,0.896965682,0.206521739,0.246785219,0.35828777
74,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.033303085,0.045508167,0.025272232,0.758855586,16.67515166,1,0.02375667,3.958175172,0.972414948,0.472033898,0.747358326,0.657094792
75,ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.045508167,0.033303085,0.025272232,0.555333998,16.67515166,1,0.02375667,2.173984317,0.984849213,0.472033898,0.540015081,0.657094792
76,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.03253176,0.100090744,0.02146098,0.659693166,6.590950761,1,0.018204852,2.644405477,0.876800691,0.193061224,0.621843167,0.437054199
77,WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.100090744,0.03253176,0.02146098,0.214415231,6.590950761,1,0.018204852,1.231526218,0.942624843,0.193061224,0.187999423,0.437054199
78,RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.041696915,0.031034483,0.020961887,0.502720348,16.19876678,1,0.019667845,1.948532408,0.979092022,0.404907975,0.486793242,0.589079472
79,STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.031034483,0.041696915,0.020961887,0.675438596,16.19876678,1,0.019667845,2.952609506,0.968318159,0.404907975,0.661316541,0.589079472
80,REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.083121597,0.045508167,0.020961887,0.252183406,5.541497777,1,0.017179176,1.276371561,0.893840852,0.194690265,0.216529081,0.356400776
81,ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.045508167,0.083121597,0.020961887,0.460618146,5.541497777,1,0.017179176,1.699868832,0.85861748,0.194690265,0.411719316,0.356400776
82,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.043375681,0.049546279,0.024183303,0.557531381,11.25273959,1,0.022034199,2.148070347,0.952445734,0.351815182,0.534465898,0.522813309
83,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.049546279,0.043375681,0.024183303,0.488095238,11.25273959,1,0.022034199,1.868754484,0.958629265,0.351815182,0.464884227,0.522813309
84,"GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.02654265,0.045508167,0.022549909,0.84957265,18.66857547,1,0.021342002,6.34520139,0.972239871,0.455545371,0.842400589,0.672543055
85,"GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.032350272,0.033303085,0.022549909,0.697054698,20.93063427,1,0.021472545,3.190994908,0.984057673,0.523157895,0.686618115,0.687083208
86,"PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.025272232,0.044010889,0.022549909,0.892280072,20.27407503,1,0.021437656,8.874765578,0.975324554,0.482524272,0.887320967,0.702325603
87,GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER",0.044010889,0.025272232,0.022549909,0.512371134,20.27407503,1,0.021437656,1.998913181,0.994442211,0.482524272,0.499728148,0.702325603
88,PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER",0.033303085,0.032350272,0.022549909,0.677111717,20.93063427,1,0.021472545,2.996856119,0.985027597,0.523157895,0.66631698,0.687083208
89,ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER",0.045508167,0.02654265,0.022549909,0.49551346,18.66857547,1,0.021342002,1.929600242,0.991558038,0.455545371,0.481757942,0.672543055
